id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/05a55bb3-68d6-4ff0-83fd-46a68a45a598,aerospace,aerospace engineering|aerospace engineering technician|engineering|engineering technician|engineering technician aeronautics,programming,"They review blueprints and instructions to determine test specifications and procedures.  They use software to make sure that parts of a spacecraft or aircraft are functioning properly.  They record test procedures and results, and make recommendations for changes."
http://data.europa.eu/esco/occupation/05ae3e87-36ad-428f-a086-8a2ed458db3b,table,table saw|table saw operator|saw|saw operator|saw operator table,general,"The saw is built into a table.  The operator sets the height of the saw to control the depth of the cut.  Particular attention is paid to safety, as factors such as natural stresses within the wood may produce unpredictable forces."
http://data.europa.eu/esco/occupation/05ebeb56-6ceb-488d-ba91-ed15088efc8e,bridge,bridge construction|bridge construction supervisor|construction|construction supervisor|construction supervisor bridge,general,They assign tasks and take quick decisions to resolve problems.
http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,bricklayer,bricklayer specialist|bricklayer specialist brick|specialist|specialist brick|specialist brick layer,general,They then fill the joints with mortar or other suitable materials.
http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329,meat,meat cutter|meat cutter trimmer|cutter|cutter trimmer|cutter trimmer meatcutter,technical,They remove bones from pre-processed carcasses of animals either manually or using machines.
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,criminologist criminology|criminologist criminology science|criminology|criminology science|criminology science researcher,general,They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime.
http://data.europa.eu/esco/occupation/061f56c6-36eb-4aa7-b5ef-98b7a569da1c,performance,performance video|performance video operator|video|video operator|video operator visual,technical,"Their work is influenced by and influences the results of other operators.  Therefore, the operators work closely together with the designers, operators and performers.  Performance video operators prepare media fragments, supervise the setup, steer the technical crew, program the equipment and operate the video system.  Their work is based on plans, instructions and other documentation."
http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,fish,fish and|fish and seafood|and|and seafood|and seafood specialised,general,
http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,oil,oil and|oil and gas|and|and gas|and gas production,technical,"They steer one or more units and oversee the implementation of technical and human means, within the framework of objectives of volume, quality and planning.  Oil and gas production managers design and ensure that the production plans and schedules are met."
http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,metallurgical,metallurgical technician|metallurgical technician metallurgy|technician|technician metallurgy|technician metallurgy test,general,They also assist in improving the methods of extraction.
